Date,Value
01/01/1970,35.2
01/04/1970,35.1
01/07/1970,35.4
01/10/1970,36.2
01/01/1971,37.4
01/04/1971,38.9
01/07/1971,40.1
01/10/1971,42
03/01/1972,43.5
03/04/1972,48.3
03/07/1972,62.1
02/10/1972,65.5
01/01/1973,63.9
02/04/1973,84.4
02/07/1973,120.1
01/10/1973,103
01/01/1974,106.7
01/04/1974,168.4
01/07/1974,154.1
01/10/1974,151.8
01/01/1975,183.9
01/04/1975,177.3
01/07/1975,166.5
01/10/1975,143.5
01/01/1976,140.3
01/04/1976,129.2
01/07/1976,122.9
01/10/1976,116
03/01/1977,134.5
01/04/1977,148.3
01/07/1977,142.6
03/10/1977,155.5
02/01/1978,165
03/04/1978,183.4
03/07/1978,183.3
02/10/1978,217.1
29/12/1978,226
01/01/1979,226
02/01/1979,226.8
03/01/1979,218.6
04/01/1979,223.15
05/01/1979,225.5
08/01/1979,223.1
09/01/1979,224
10/01/1979,220.7
11/01/1979,220.65
12/01/1979,217.6
15/01/1979,216.85
16/01/1979,220.65
17/01/1979,227.25
18/01/1979,231.75
19/01/1979,230.55
22/01/1979,235
23/01/1979,230
24/01/1979,236.1
25/01/1979,233.85
26/01/1979,235.45
29/01/1979,235.2
30/01/1979,233.5
31/01/1979,233.7
01/02/1979,229.35
02/02/1979,230.3
05/02/1979,243.1
06/02/1979,244.5
07/02/1979,251.6
08/02/1979,250.5
09/02/1979,246.75
12/02/1979,244.25
13/02/1979,240.6
14/02/1979,240.65
15/02/1979,247.75
16/02/1979,247.05
19/02/1979,248.1
20/02/1979,247
21/02/1979,250.75
22/02/1979,252.35
23/02/1979,251
26/02/1979,248.6
27/02/1979,247.9
28/02/1979,251.3
01/03/1979,248.8
02/03/1979,248
05/03/1979,238.15
06/03/1979,239.75
07/03/1979,242.25
08/03/1979,239.2
09/03/1979,241
12/03/1979,240
13/03/1979,239.1
14/03/1979,239.5
15/03/1979,240.1
16/03/1979,244
19/03/1979,242.25
20/03/1979,242.1
21/03/1979,239.9
22/03/1979,242.85
23/03/1979,242.5
26/03/1979,245.25
27/03/1979,244.35
28/03/1979,244.4
29/03/1979,241.5
30/03/1979,240.1
02/04/1979,239.7
03/04/1979,240
04/04/1979,239.75
05/04/1979,240.65
06/04/1979,239.75
09/04/1979,240.2
10/04/1979,239.75
11/04/1979,238.35
12/04/1979,233.95
13/04/1979,233.95
16/04/1979,233.95
17/04/1979,231.9
18/04/1979,233.2
19/04/1979,240.9
20/04/1979,236.4
23/04/1979,236.85
24/04/1979,239.7
25/04/1979,241.8
26/04/1979,242.2
27/04/1979,243.7
30/04/1979,245.3
01/05/1979,247.3
02/05/1979,246.3
03/05/1979,246.5
04/05/1979,248.45
07/05/1979,248.45
08/05/1979,248.95
09/05/1979,247.95
10/05/1979,252.25
11/05/1979,251.5
14/05/1979,251
15/05/1979,255.5
16/05/1979,256.5
17/05/1979,256.8
18/05/1979,256.4
21/05/1979,262
22/05/1979,265.4
23/05/1979,264.15
24/05/1979,263.75
25/05/1979,270.6
28/05/1979,270.6
29/05/1979,273.8
30/05/1979,270.25
31/05/1979,274.6
01/06/1979,275.1
04/06/1979,272.9
05/06/1979,274.75
06/06/1979,280
07/06/1979,276.05
08/06/1979,280
11/06/1979,282.35
12/06/1979,277.75
13/06/1979,276.6
14/06/1979,279
15/06/1979,280
18/06/1979,278
19/06/1979,280.3
20/06/1979,281.35
21/06/1979,282.3
22/06/1979,283.45
25/06/1979,283.85
26/06/1979,281.45
27/06/1979,281.8
28/06/1979,275.9
29/06/1979,277.5
02/07/1979,282.5
03/07/1979,281.35
04/07/1979,283.5
05/07/1979,288.25
06/07/1979,290.25
09/07/1979,287.85
10/07/1979,290.5
11/07/1979,290.3
12/07/1979,290.75
13/07/1979,287.45
16/07/1979,292.8
17/07/1979,296.3
18/07/1979,302.15
19/07/1979,299.15
20/07/1979,298.75
23/07/1979,304.9
24/07/1979,305.25
25/07/1979,303.35
26/07/1979,305.2
27/07/1979,305.8
30/07/1979,301.4
31/07/1979,296.45
01/08/1979,290.1
02/08/1979,291.5
03/08/1979,286.5
06/08/1979,282.7
07/08/1979,285.1
08/08/1979,289
09/08/1979,297.1
10/08/1979,303.75
13/08/1979,298.75
14/08/1979,292
15/08/1979,301.85
16/08/1979,297.85
17/08/1979,300.55
20/08/1979,298.75
21/08/1979,300.5
22/08/1979,311
23/08/1979,310.05
24/08/1979,314.75
27/08/1979,314.75
28/08/1979,316.75
29/08/1979,315.2
30/08/1979,319.15
31/08/1979,315.1
03/09/1979,322.9
04/09/1979,325
05/09/1979,329
06/09/1979,335.5
07/09/1979,329.15
10/09/1979,336.3
11/09/1979,339.5
12/09/1979,337.1
13/09/1979,332.95
14/09/1979,345.8
17/09/1979,351.75
18/09/1979,375.75
19/09/1979,369
20/09/1979,380
21/09/1979,369
24/09/1979,380.4
25/09/1979,376.7
26/09/1979,373.75
27/09/1979,395.5
28/09/1979,397.25
01/10/1979,414.75
02/10/1979,426
03/10/1979,402
04/10/1979,384
05/10/1979,385
08/10/1979,372
09/10/1979,385.8
10/10/1979,413
11/10/1979,401.5
12/10/1979,395
15/10/1979,402.9
16/10/1979,394.25
17/10/1979,386
18/10/1979,380.5
19/10/1979,393
22/10/1979,392
23/10/1979,385
24/10/1979,395
25/10/1979,391.8
26/10/1979,375
29/10/1979,374
30/10/1979,377.6
31/10/1979,382
01/11/1979,378.5
02/11/1979,372.8
05/11/1979,381
06/11/1979,384.3
07/11/1979,395
08/11/1979,389.5
09/11/1979,389.5
12/11/1979,393.25
13/11/1979,387.2
14/11/1979,390
15/11/1979,386
16/11/1979,390.35
19/11/1979,389.85
20/11/1979,387.75
21/11/1979,396.15
22/11/1979,393.15
23/11/1979,392
26/11/1979,395.25
27/11/1979,393.75
28/11/1979,411.2
29/11/1979,411.7
30/11/1979,415.65
03/12/1979,428.75
04/12/1979,431.2
05/12/1979,426.4
06/12/1979,433.75
07/12/1979,430.4
10/12/1979,431.15
11/12/1979,445.5
12/12/1979,446.25
13/12/1979,458.8
14/12/1979,456.8
17/12/1979,469.5
18/12/1979,477.75
19/12/1979,488.5
20/12/1979,471.5
21/12/1979,473.1
24/12/1979,473.1
25/12/1979,473.1
26/12/1979,473.1
27/12/1979,473.1
28/12/1979,512
31/12/1979,512
01/01/1980,512
02/01/1980,559.5
03/01/1980,634
04/01/1980,588
07/01/1980,633.5
08/01/1980,610
09/01/1980,607.2
10/01/1980,602.85
11/01/1980,623
14/01/1980,660
15/01/1980,684
16/01/1980,760
17/01/1980,750
18/01/1980,835
21/01/1980,850
22/01/1980,737.5
23/01/1980,695
24/01/1980,717
25/01/1980,668
28/01/1980,624
29/01/1980,674.25
30/01/1980,691
31/01/1980,653
01/02/1980,676.5
04/02/1980,669.75
05/02/1980,682
06/02/1980,709
07/02/1980,699.25
08/02/1980,692
11/02/1980,710.5
12/02/1980,694.5
13/02/1980,696.75
14/02/1980,682
15/02/1980,667
18/02/1980,661.5
19/02/1980,652.25
20/02/1980,606
21/02/1980,665
22/02/1980,630
25/02/1980,616.5
26/02/1980,642.25
27/02/1980,636
28/02/1980,646
29/02/1980,637
03/03/1980,633.75
04/03/1980,631.25
05/03/1980,643.5
06/03/1980,626
07/03/1980,609
10/03/1980,585
11/03/1980,570.25
12/03/1980,585.7
13/03/1980,556.5
14/03/1980,523
17/03/1980,484
18/03/1980,481.5
19/03/1980,527
20/03/1980,561
21/03/1980,525
24/03/1980,558.25
25/03/1980,547.25
26/03/1980,507.5
27/03/1980,485.25
28/03/1980,490
31/03/1980,494.5
01/04/1980,509.5
02/04/1980,500.5
03/04/1980,485.75
04/04/1980,485.75
07/04/1980,485.75
08/04/1980,528
09/04/1980,554
10/04/1980,526
11/04/1980,530.5
14/04/1980,529.75
15/04/1980,497.5
16/04/1980,520
17/04/1980,513
18/04/1980,515.6
21/04/1980,506
22/04/1980,502.4
23/04/1980,506.5
24/04/1980,515.7
25/04/1980,551.5
28/04/1980,524.25
29/04/1980,513.75
30/04/1980,518
01/05/1980,490
02/05/1980,512.5
05/05/1980,512.5
06/05/1980,512.5
07/05/1980,510
08/05/1980,515.75
09/05/1980,508.25
12/05/1980,513.25
13/05/1980,512
14/05/1980,525
15/05/1980,517
16/05/1980,516.5
19/05/1980,513.75
20/05/1980,507.75
21/05/1980,513.5
22/05/1980,501
23/05/1980,511.25
26/05/1980,511.25
27/05/1980,514.8
28/05/1980,526.5
29/05/1980,519.6
30/05/1980,535.5
02/06/1980,561.5
03/06/1980,552.5
04/06/1980,571.5
05/06/1980,581.75
06/06/1980,597
09/06/1980,623.75
10/06/1980,604
11/06/1980,596
12/06/1980,590
13/06/1980,608.4
16/06/1980,595
17/06/1980,591.75
18/06/1980,602.5
19/06/1980,599
20/06/1980,602.9
23/06/1980,596.5
24/06/1980,603
25/06/1980,622.5
26/06/1980,624.5
27/06/1980,637.5
30/06/1980,653.5
01/07/1980,660
02/07/1980,661.5
03/07/1980,663.5
04/07/1980,666.5
07/07/1980,667.5
08/07/1980,687.5
09/07/1980,671
10/07/1980,656.5
11/07/1980,667
14/07/1980,650
15/07/1980,619.5
16/07/1980,624.75
17/07/1980,627.25
18/07/1980,606
21/07/1980,617.5
22/07/1980,613
23/07/1980,631.25
24/07/1980,643
25/07/1980,651.75
28/07/1980,643.5
29/07/1980,646.75
30/07/1980,629
31/07/1980,614.25
01/08/1980,622
04/08/1980,630.75
05/08/1980,630.5
06/08/1980,627.75
07/08/1980,629.5
08/08/1980,630
11/08/1980,617
12/08/1980,605
13/08/1980,615.25
14/08/1980,626
15/08/1980,624.5
18/08/1980,612.25
19/08/1980,624
20/08/1980,634.75
21/08/1980,645.25
22/08/1980,639.2
25/08/1980,639.2
26/08/1980,628.85
27/08/1980,633.85
28/08/1980,635.3
29/08/1980,631.25
01/09/1980,628.75
02/09/1980,640
03/09/1980,636.75
04/09/1980,647.25
05/09/1980,651
08/09/1980,672
09/09/1980,670.5
10/09/1980,686.5
11/09/1980,674
12/09/1980,685.5
15/09/1980,666.5
16/09/1980,668
17/09/1980,673
18/09/1980,672
19/09/1980,674
22/09/1980,710
23/09/1980,711
24/09/1980,710.5
25/09/1980,697.75
26/09/1980,698.75
29/09/1980,679.25
30/09/1980,666.75
01/10/1980,682
02/10/1980,665.75
03/10/1980,660.5
06/10/1980,675.5
07/10/1980,678.15
08/10/1980,677
09/10/1980,690
10/10/1980,685.25
13/10/1980,679.75
14/10/1980,668.5
15/10/1980,678
16/10/1980,674
17/10/1980,670.5
20/10/1980,657
21/10/1980,652.5
22/10/1980,660
23/10/1980,634.5
24/10/1980,633
27/10/1980,637.25
28/10/1980,631.75
29/10/1980,644
30/10/1980,642.5
31/10/1980,629
03/11/1980,640.5
04/11/1980,646
05/11/1980,652
06/11/1980,632
07/11/1980,596
10/11/1980,612.5
11/11/1980,598.5
12/11/1980,619.5
13/11/1980,622
14/11/1980,612.5
17/11/1980,611.75
18/11/1980,619
19/11/1980,629.75
20/11/1980,630.5
21/11/1980,634.75
24/11/1980,631
25/11/1980,616.25
26/11/1980,623
27/11/1980,622
28/11/1980,619.75
01/12/1980,635
02/12/1980,627
03/12/1980,627.25
04/12/1980,631.5
05/12/1980,617
08/12/1980,617.25
09/12/1980,604
10/12/1980,579
11/12/1980,558
12/12/1980,562.75
15/12/1980,579
16/12/1980,561
17/12/1980,575.5
18/12/1980,573.5
19/12/1980,575
22/12/1980,594.75
23/12/1980,602.5
24/12/1980,602.5
25/12/1980,602.5
26/12/1980,602.5
29/12/1980,593.75
30/12/1980,589.75
31/12/1980,589.75
01/01/1981,589.75
02/01/1981,589.75
05/01/1981,597.5
06/01/1981,599.25
07/01/1981,585
08/01/1981,574.75
09/01/1981,577.75
12/01/1981,562
13/01/1981,562.75
14/01/1981,556.5
15/01/1981,571.5
16/01/1981,560.75
19/01/1981,566.75
20/01/1981,562
21/01/1981,578
22/01/1981,564
